# Re(α)   Im(α)
-11382.6 21.7628
11382.2 -21.0131
5693.37 -13.5094
-5691.95 13.3623
-3793.68 7.51199
3793.35 -6.65843
2846.65 -6.95386
-2845.1 6.78701
-2275.51 4.7236
2275.24 -3.66464
1897.66 -4.9211
-1895.88 4.6833
-1624.59 3.6091
1624.42 -2.24905
1423.2 -4.15249
-1421.05 3.71841
-1262.74 3.07728
1262.79 -1.33118
1138.74 -4.15536
-1135.96 3.22614
-1032.28 2.82732
1032.77 -0.626241
949.941 -5.23428
-945.736 2.98313
-872.561 2.74054
874.265 -0.0114791
820.318 -8.77289
-809.71 2.89161
765.27 3.44501
-755.287 2.75857
741.378 -0.569668
-707.552 2.90038
697.89 10.6124
297.338 -599.043
-665.47 2.84754
662.526 1.45397
-627.969 2.97847
625.639 5.24731
592.864 1.7885
-594.437 2.98477
-564.186 3.1049
563.192 3.6567
535.812 2.18693
-536.818 3.15316
-511.89 3.26408
511.418 3.14584
-489.113 3.33851
488.452 2.58333
-468.211 3.4435
468.018 3.03849
-448.946 3.52869
448.504 2.95864
431.146 3.15437
-431.16 3.63186
84.0726 -399.248
414.317 3.28265
-414.648 3.71411
399.392 3.43985
-399.318 3.81683
-385.013 3.88933
384.727 3.50448
-371.649 3.98335
371.616 3.79928
-359.144 4.05204
358.951 3.65916
346.762 64.1044
347.047 3.91437
-347.39 4.11845
336.25 3.94171
39.7471 -299.98
-336.354 4.19183
-142.987 272.99
325.594 3.68074
-325.96 4.22691
315.732 4.16168
-316.128 4.27704
306.952 3.82482
297.557 3.57443
-306.882 4.32189
-243.736 151.356
289.383 4.6154
-298.111 4.30602
282.547 3.66188
-289.765 4.33347
23.6733 -244.067
273.785 2.79795
-281.94 4.35895
263.241 33.5177
265.237 6.99253
263.488 2.88124
-274.484 4.2469
254.685 1.24378
-267.256 4.20437
-260.55 4.33286
246.765 0.317092
244.667 12.9338
-254.418 4.1094
-227.381 77.174
15.9554 -207.749
239.428 -0.660073
-248.117 3.57183
-35.6913 205.728
230.865 19.2343
232.794 -1.67957
-241.496 3.40599
-236.791 6.34008
226.76 -2.71869
221.031 20.3259
-233.744 2.58474
221.274 -3.78406
218.875 -10.8923
216.737 -4.36552
-227.692 1.02157
209.485 21.2378
212.823 -3.47508
11.5989 -181.932
-220.537 15.6461
-222.151 -0.30324
-219.439 -9.93702
-208.463 42.4866
-217.753 -1.81943
208.545 -2.26344
-214.709 -0.889123
-207.934 23.4504
-210.372 0.461741
204.152 -1.09854
199.054 22.444
199.664 0.03952
-205.979 1.67506
-197.791 28.2425
-201.498 2.86488
195.073 1.14979
189.334 23.5055
-196.913 4.03126
190.371 2.23006
-188.85 29.5844
-192.218 5.17147
8.8697 -162.448
185.549 3.27788
180.222 24.4813
-187.405 6.28354
180.597 4.29045
-179.857 30.1824
-182.462 7.36548
171.662 25.3806
175.503 5.26461
-17.1401 155.194
-177.379 8.4146
170.254 6.19669
-171.326 30.7803
163.601 26.2077
-172.143 9.42811
7.03166 -147.112
164.835 7.08245
-166.737 10.4027
-163.287 31.3435
155.994 26.9679
159.226 7.9169
-161.145 11.3346
-155.699 31.8641
-155.345 12.2195
153.407 8.69415
148.801 27.6647
5.72657 -134.661
-148.521 32.3423
-149.311 13.0523
147.35 9.40711
141.984 28.3014
-141.718 32.7801
-143.013 13.8268
141.024 10.0471
135.517 28.8803
4.76193 -124.311
-135.261 33.1773
-136.41 14.5358
134.39 10.6035
129.369 29.4078
-10.3724 124.317
-129.121 33.5355
-129.456 15.17
4.02621 -115.543
123.517 29.8789
127.395 11.0626
-123.276 33.854
117.942 30.3047
-122.087 15.7183
-117.703 34.1375
119.977 11.4066
3.4508 -108.001
112.613 30.6813
-112.381 34.3802
-114.22 16.1659
-107.301 34.5902
2.99135 -101.432
112.045 11.6116
107.534 31.0086
-6.88871 103.343
-102.434 34.7656
-105.738 16.4938
102.668 31.3033
2.61806 -95.6493
-97.7811 34.9006
103.479 11.6439
98.0086 31.5399
93.5543 31.7551
2.31023 -90.5122
-93.3181 35.0127
-96.4736 16.6753
89.2728 31.9014
94.1003 11.4534
2.05307 -85.913
-89.0369 35.0828
85.1738 32.0663
-4.90125 87.9842
-84.9303 35.1263
1.83577 -81.7677
81.2113 32.0873
-86.1674 16.6721
-80.9846 35.1387
83.6274 10.9592
77.4505 32.2647
1.65034 -78.0096
-77.1918 35.1201
73.7899 32.1161
-73.5438 35.0734
1.49072 -74.5849
70.3041 32.3086
-4.04967 75.791
-70.0362 34.9981
-74.3757 16.4245
1.35233 -71.4499
66.8593 32.0662
-66.6539 34.8962
71.5718 10.0139
1.23156 -68.5682
63.7975 32.1653
-63.4036 34.7641
4.12943 69.286
1.12564 -65.9097
-5.24464 68.5296
60.3113 31.8958
-60.2616 34.6141
1.0323 -63.4484
57.7531 31.9794
-57.2432 34.4268
0.949737 -61.1626
54.541 31.5865
0.876464 -59.0332
-54.3218 34.2284
-60.2155 15.8287
-2.33993 61.9982
51.6914 31.6267
-0.207583 61.5034
-51.5104 33.9985
0.811242 -57.0439
56.9248 8.28803
0.753016 -55.1803
-48.799 33.7384
49.19 31.0757
-0.228843 58.4772
0.700895 -53.4297
46.7076 31.4539
-46.1555 33.4807
0.654109 -51.7812
-0.207054 56.057
-1.57765 55.7316
-43.6694 33.1588
0.612 -50.225
43.4159 29.9754
42.1489 31.2238
-0.231573 53.9737
0.573982 -48.7525
-41.1355 32.8553
0.539547 -47.3561
-38.8797 32.5249
38.7442 29.9985
-0.229244 52.07
0.50826 -46.0292
0.479734 -44.7658
36.5152 30.1212
-36.4818 32.1202
-1.20764 50.8299
-0.215551 50.3717
0.453638 -43.5608
35.6445 29.3999
0.429687 -42.4094
-34.3413 31.8057
-0.239546 48.7574
-41.3208 14.6543
0.407629 -41.3077
-0.224842 47.2389
-32.1827 31.3501
0.38725 -40.2519
-1.05122 46.5173
30.8628 30.1902
-0.224905 45.8625
32.0233 28.0574
0.368368 -39.2388
-30.0927 30.9508
-0.243723 44.5054
0.350823 -38.2656
0.33448 -37.3295
-28.1197 30.4957
-0.232364 43.2111
28.8172 27.5178
0.319227 -36.4283
36.7804 4.60575
-0.964904 42.3753
-0.213414 42.0343
25.7093 29.244
-26.1367 30.0866
0.304956 -35.5598
-0.245497 40.8608
0.291575 -34.722
0.279009 -33.9132
-24.3425 29.4885
-0.247079 39.7274
25.8891 25.948
0.267184 -33.1317
0.256035 -32.3761
22.6021 27.8406
-22.3633 29.123
-0.23345 38.6386
0.245507 -31.6449
-1.78444 38.1713
1.88925 37.6719
-0.201911 37.6149
0.235549 -30.9371
-20.7808 28.4668
-1.24733 36.9348
-0.22152 36.6604
19.7367 27.5662
0.226112 -30.2514
0.217159 -29.5869
21.6966 24.0347
-0.252195 35.6832
-18.8687 27.9807
0.208653 -28.9424
-0.256953 34.735
0.200561 -28.3172
16.7581 26.6475
-17.351 27.3729
0.192859 -27.7104
-0.243592 33.8043
0.185518 -27.1212
-0.514762 33.2797
-0.225782 33.0231
0.178517 -26.5489
-15.624 26.7092
0.171835 -25.9929
-0.26238 32.1359
17.7864 22.3995
0.165451 -25.4523
13.7015 25.4945
-0.263646 31.2945
-14.0642 26.1066
0.159347 -24.9268
-0.154872 30.4582
-0.434788 30.4232
0.153505 -24.4156
-0.265432 29.7738
-12.587 25.3568
0.147912 -23.9183
-0.267778 28.9975
0.142549 -23.4343
0.137407 -22.9633
0.132472 -22.5047
-11.046 24.5807
14.2467 21.1318
10.9975 23.6542
-0.267307 28.2525
1.04187 27.8725
-1.14478 27.8786
0.127734 -22.0581
-0.265335 27.5264
0.123183 -21.6232
-9.69314 23.8287
-0.325432 26.7644
-0.112119 26.6847
0.118811 -21.1995
-0.28969 26.2311
0.114607 -20.7867
0.110562 -20.3845
0.10667 -19.9925
-0.278082 25.5413
-8.33796 22.9078
0.102921 -19.6104
11.0464 20.0876
9.02085 21.5639
-0.289038 24.8825
0.0993107 -19.238
0.0149243 24.5184
0.0958315 -18.8749
-0.303838 24.2971
-7.09155 22.0414
0.0924774 -18.5209
-0.285013 23.6761
0.0892437 -18.1757
0.0861246 -17.8391
0.0831149 -17.5109
7.79925 19.7301
-0.301533 23.0805
0.0752872 22.989
-5.93415 21.0721
0.0802097 -17.1909
0.077405 -16.8788
-0.288529 22.5156
7.69528 18.9445
0.0746954 -16.5744
-0.293393 21.9393
0.0720772 -16.2776
-4.8693 20.1058
0.280544 21.4985
-0.355354 21.5173
0.0695467 -15.9881
-0.257836 21.353
0.0671002 -15.7059
6.25856 18.305
-0.294613 20.8482
0.0647345 -15.4307
0.184123 20.4392
-0.30608 20.3483
0.0624456 -15.1623
-3.89309 19.1055
0.0602303 -14.9007
-0.291235 19.8413
0.0580854 -14.6457
5.3993 17.2687
0.0560079 -14.3972
-0.294231 19.336
0.0539947 -14.1549
0.215234 18.8597
-0.309247 18.861
-3.00779 18.0834
0.052043 -13.9189
0.0501495 -13.689
0.0483112 -13.4652
-0.297273 18.4035
4.65029 16.381
0.0465257 -13.2472
0.632426 17.8382
-0.295952 17.9401
-0.551002 17.8865
0.0447894 -13.0351
-2.22362 17.0263
-0.292997 17.4773
0.0430995 -12.8287
0.0414523 -12.6281
-0.295608 17.0346
3.94495 15.4812
0.0398442 -12.4332
0.0382713 -12.2439
0.301531 16.5959
-0.303549 16.614
0.0367289 -12.0602
-1.57118 15.9616
-0.297458 16.2083
0.0352121 -11.8821
0.0337148 -11.7098
0.0322311 -11.5432
0.0307564 -11.3824
3.34945 14.5744
-0.295018 15.808
0.559403 15.6219
0.029291 -11.2276
-0.424641 15.6477
0.0278527 -11.0789
0.0264901 -10.9361
-0.295081 15.3951
0.0252992 -10.7987
0.0243824 -10.6658
0.0237685 -10.5358
-1.05632 14.8812
-0.29318 15.0086
0.0233784 -10.4072
0.0231024 -10.2792
0.0228681 -10.1514
2.86102 13.7016
0.364798 14.5927
-0.294202 14.6383
0.0226437 -10.0237
0.02242 -9.89601
0.0221948 -9.76833
0.0219673 -9.64067
-0.29155 14.2884
0.021738 -9.51301
0.0215063 -9.38538
-0.24475 14.0179
-0.660498 13.8685
0.391761 13.7964
-0.297903 13.8934
0.0212722 -9.25776
2.46091 12.8808
0.0210358 -9.13015
0.0207974 -9.00256
-0.285267 13.5655
0.0205563 -8.87499
0.0203127 -8.74743
0.0200669 -8.61988
0.0198186 -8.49236
-0.279951 13.2456
0.0195677 -8.36485
0.28759 12.9947
-0.496337 12.97
2.12389 12.1231
-0.280872 12.9103
0.0193143 -8.23735
0.0190583 -8.10988
0.0187994 -7.98242
-0.125135 12.6542
-0.246584 12.5966
0.0185382 -7.85497
0.291874 12.4034
0.0182741 -7.72754
-0.287693 12.3308
0.0180073 -7.60013
-0.303252 12.2005
0.0177377 -7.47274
1.8225 11.4151
-0.228451 11.9883
0.0174653 -7.34536
0.0171899 -7.21801
0.399885 11.745
-0.196817 11.7829
0.0169116 -7.09066
0.0166305 -6.96334
-0.149089 11.6577
0.0163463 -6.83603
-0.183938 11.5174
0.0160591 -6.70875
-0.183967 11.3488
0.0157688 -6.58148
1.55862 10.7351
-0.159292 11.1812
0.454992 11.0879
0.0154754 -6.45422
-0.130881 11.0386
0.0151789 -6.32699
-0.129051 10.9194
0.0148792 -6.19978
0.0145763 -6.07258
-0.132312 10.7784
0.0142701 -5.9454
-0.12119 10.6441
1.34392 10.0829
0.480851 10.4657
-0.111678 10.5216
0.0139607 -5.81824
-0.110912 10.3978
0.0136479 -5.6911
-0.10838 10.2708
0.0133318 -5.56398
-0.105226 10.145
0.0130123 -5.43687
-0.102825 10.0202
0.483045 9.88051
1.18054 9.46862
-0.10035 9.89513
-0.097764 9.76985
0.0126894 -5.30979
0.012363 -5.18273
-0.095197 9.64453
0.0120332 -5.05568
-0.0928121 9.51915
0.0116999 -4.92865
0.469079 9.33181
-0.0905364 9.39384
1.06274 8.90187
-0.0882843 9.26854
-0.0860671 9.14325
0.0113631 -4.80165
-0.0838854 9.01786
0.0110227 -4.67466
-0.0818797 8.89237
0.438587 8.81891
0.0106787 -4.54769
-0.0801075 8.76688
0.979898 8.39213
-0.0785605 8.64144
0.0103311 -4.42074
-0.0772546 8.51603
0.00997988 -4.29381
-0.0764629 8.39071
0.376207 8.34686
-0.0763418 8.26607
0.907449 7.94468
0.00962491 -4.1669
-0.0762641 8.14283
0.296511 8.01342
-0.0749043 8.02082
0.00926616 -4.04
-0.0716746 7.89859
-0.0675149 7.77498
0.821365 7.53253
0.386446 7.67847
-0.0635783 7.65011
0.00890354 -3.91313
-0.0602968 7.52466
0.00853696 -3.78627
-0.0575178 7.39909
0.43109 7.27429
0.739187 7.12975
-0.0550451 7.27351
0.0081663 -3.65943
-0.0528254 7.14794
0.00779137 -3.5326
-0.0507805 7.02242
0.00741195 -3.40579
0.443751 6.88988
-0.0488475 6.89693
0.676684 6.74271
-0.0470318 6.77145
0.00702775 -3.279
-0.0453144 6.64599
0.440727 6.52781
-0.043686 6.52052
0.00663838 -3.15222
0.633787 6.37958
-0.0421722 6.39503
0.00624332 -3.02545
-0.0407832 6.26953
0.425837 6.18654
-0.0395672 6.144
0.607411 6.04485
0.00584191 -2.89869
-0.0386039 6.01848
-0.03799 5.89311
